house,group,origin,token,gazette_total_hits,candidates,strong_candidates,notice_types,best_date,best_edition,best_issue,best_page,best_url,priority
J. Henry Schröder & Co,Émigré: German & Central European,German (Hamburg),Schroder,386,120,63,"dissolution, honour, other, winding_up",1845-08-29,London,20502,2649,https://www.thegazette.co.uk/London/issue/20502/page/2649,True
Frederick Huth & Co,Émigré: German & Central European,German (Stade/Hanover),Huth,480,120,34,"bankruptcy, company, dissolution, honour, other, winding_up",1846-01-02,London,20557,27,https://www.thegazette.co.uk/London/issue/20557/page/27,True
"Kleinwort, Sons & Co",Émigré: German & Central European,German (Holstein),Kleinwort,98,98,65,"dissolution, other, winding_up",1909-11-16,London,28308,8498,https://www.thegazette.co.uk/London/issue/28308/page/8498,True
C. J. Hambro & Son,Émigré: German & Central European,Danish (Copenhagen),Hambro,463,120,18,"bankruptcy, dissolution, honour, other",1869-03-02,London,23475,1473,https://www.thegazette.co.uk/London/issue/23475/page/1473,True
N. M. Rothschild & Sons,Émigré: German & Central European,German-Jewish (Frankfurt),Rothschild,810,120,20,"bankruptcy, dissolution, enemy_property, other, winding_up",1872-09-03,London,23892,3901,https://www.thegazette.co.uk/London/issue/23892/page/3901,True
Bischoffsheim & Goldschmidt,Émigré: German & Central European,German-Jewish (Mainz/Amsterdam),Bischoffsheim,35,35,5,other,1850-10-18,London,21145,2755,https://www.thegazette.co.uk/London/issue/21145/page/2755,True
Frühling & Goschen,Émigré: German & Central European,German (Leipzig),Goschen,634,120,18,"bankruptcy, dissolution, enemy_property, honour, other, winding_up",1856-12-26,London,21953,4350,https://www.thegazette.co.uk/London/issue/21953/page/4350,True
Stern Brothers,Émigré: German & Central European,German-Jewish (Frankfurt),Stern Brothers,124,13,8,"company, dissolution, enemy_property, other",1916-08-25,London,29723,8433,https://www.thegazette.co.uk/London/issue/29723/page/8433,True
S. Oppenheim & Sons,Émigré: German & Central European,German-Jewish (Cologne),Oppenheim,780,120,65,"bankruptcy, dissolution, enemy_property, other, winding_up",1847-04-06,London,20721,1317,https://www.thegazette.co.uk/London/issue/20721/page/1317,True
William Brandt's Sons & Co,Émigré: German & Central European,German (Hamburg/Archangel),Brandt,667,120,79,"bankruptcy, dissolution, other, winding_up",1865-01-17,London,22930,231,https://www.thegazette.co.uk/London/issue/22930/page/231,True
