counterparty_clean,canonical_house,origin,origin_group,confidence,matched
??Se Sons & Co,(unclassified),,Unclassified (long tail),,False
A & G W Alexander & Co,Alexanders & Co (discount),British (Quaker),British: discount house,medium,True
A Bell & Sons,(unclassified),,Unclassified (long tail),,False
A Cose & Co,(unclassified),,Unclassified (long tail),,False
A Dimitris & Sons,(unclassified),,Unclassified (long tail),,False
A F Schleicher,(unclassified),,Unclassified (long tail),,False
A G Da Costa,(unclassified),,Unclassified (long tail),,False
A Jackson & Co,(unclassified),,Unclassified (long tail),,False
A Jarohai,(unclassified),,Unclassified (long tail),,False
A Joachim,(unclassified),,Unclassified (long tail),,False
A L Crohn,(unclassified),,Unclassified (long tail),,False
A Lillen Son & Co,(unclassified),,Unclassified (long tail),,False
A Pelly & Co,(unclassified),,Unclassified (long tail),,False
A Sellean Son & Co,(unclassified),,Unclassified (long tail),,False
A Webber & Co,(unclassified),,Unclassified (long tail),,False
A. G. D Costa,(unclassified),,Unclassified (long tail),,False
A. Grant Son & Co,(unclassified),,Unclassified (long tail),,False
A. Haliener & Co,(unclassified),,Unclassified (long tail),,False
A. L. Elder,(unclassified),,Unclassified (long tail),,False
A. M. Peebler & Son,(unclassified),,Unclassified (long tail),,False
A. Mongredien & Co,(unclassified),,Unclassified (long tail),,False
A. Ralli & Co,Ralli Brothers,Greek (Chios),Émigré: Greek & Levantine,high,True
A. Ruffer & Sons,A. Ruffer & Sons,French/German (Alsace),Émigré: German & Central European,low,True
A. S. Petrie & Co,(unclassified),,Unclassified (long tail),,False
A. Salomons,(unclassified),,Unclassified (long tail),,False
A. Wehmes,(unclassified),,Unclassified (long tail),,False
A.Branwell Co Ltd,(unclassified),,Unclassified (long tail),,False
Aberdare Iron Co.,(unclassified),,Unclassified (long tail),,False
Abet Brothers,(unclassified),,Unclassified (long tail),,False
Abrahamson Lihme & Co,(unclassified),,Unclassified (long tail),,False
Absolom Crocker & Co,(unclassified),,Unclassified (long tail),,False
Adamson & Ronaldson,(unclassified),,Unclassified (long tail),,False
Adi Denielrio & Sons,(unclassified),,Unclassified (long tail),,False
Agra & Mastermans Bank Limited,Agra & Masterman's Bank,British colonial (India),Colonial / Imperial bank,high,True
Akmagaroff & Gasparian,(unclassified),,Unclassified (long tail),,False
Alex Bell & Sons,(unclassified),,Unclassified (long tail),,False
Alex Collie & Co,(unclassified),,Unclassified (long tail),,False
Alex Webber & Co,(unclassified),,Unclassified (long tail),,False
Alexander Cunliffes & Co,Cunliffe Brothers,British,British: private / merchant (native),medium,True
Alexanders & Co Ltd,Alexanders & Co (discount),British (Quaker),British: discount house,medium,True
Alexiadi Delta & Co,(unclassified),,Unclassified (long tail),,False
Alfred Stram,(unclassified),,Unclassified (long tail),,False
Alfred Towgood,(unclassified),,Unclassified (long tail),,False
Allen & Solly,(unclassified),,Unclassified (long tail),,False
Allen Harvey & Ross,"Allen, Harvey & Ross",British,British: discount house,medium,True
Allen Solly & Co,(unclassified),,Unclassified (long tail),,False
Alliance Bank Limited,Alliance Bank,British,British: clearing / joint-stock bank,low,True
Andrew Jackson & Co,(unclassified),,Unclassified (long tail),,False
Andy Gibbs & Sons,(unclassified),,Unclassified (long tail),,False
Anglo Austrian Bank,(unclassified),,Unclassified (long tail),,False
Anglo Egyptian Bank Limited,(unclassified),,Unclassified (long tail),,False
Anglo Egyptian Bank Ltd,(unclassified),,Unclassified (long tail),,False
Anglo Italian Bank Limited,(unclassified),,Unclassified (long tail),,False
Anglo South American Bank Ltd,Anglo South American Bank,British colonial (S. America),Colonial / Imperial bank,medium,True
Angus Mackenzie,(unclassified),,Unclassified (long tail),,False
Arbuthnot Latham Co,(unclassified),,Unclassified (long tail),,False
Arluthrot Ewart & Co,(unclassified),,Unclassified (long tail),,False
Arthur & Co,(unclassified),,Unclassified (long tail),,False
Arthur & Co Ltd,(unclassified),,Unclassified (long tail),,False
Ashby Morris Ltd,(unclassified),,Unclassified (long tail),,False
Ashton & Co,(unclassified),,Unclassified (long tail),,False
Atfu Heseundes & Co,(unclassified),,Unclassified (long tail),,False
Aug: Wehmer,(unclassified),,Unclassified (long tail),,False
Aviesim & Co,(unclassified),,Unclassified (long tail),,False
B Elkin & Sons,(unclassified),,Unclassified (long tail),,False
B Halberth & Sons,(unclassified),,Unclassified (long tail),,False
B L Lomant,(unclassified),,Unclassified (long tail),,False
B S & J Phillips & Co,(unclassified),,Unclassified (long tail),,False
B Salomons & Sons,(unclassified),,Unclassified (long tail),,False
B Simon & A Jacoby,B. Simon & A. Jacoby,German-Jewish,Émigré: German & Central European,low,True
B T Laveo & Co,(unclassified),,Unclassified (long tail),,False
B. C. T. Gray & Son,(unclassified),,Unclassified (long tail),,False
B. De Castro & Co,(unclassified),,Unclassified (long tail),,False
B. Jubini & Co,(unclassified),,Unclassified (long tail),,False
B. Tucker & Co,(unclassified),,Unclassified (long tail),,False
B. W .Blydenstein & Co,B. W. Blydenstein & Co,Dutch (Twente),Émigré: German & Central European,medium,True
"Bagallay, Westall & Spence",(unclassified),,Unclassified (long tail),,False
Bailey & Co To Afe Of Bailey,(unclassified),,Unclassified (long tail),,False
Bailey Pegg & Co,(unclassified),,Unclassified (long tail),,False
Baker & Co,(unclassified),,Unclassified (long tail),,False
Baker Duncombe & Co Ltd,"Baker, Duncombe & Co",British,British: private / merchant (native),low,True
Balls Garrett,(unclassified),,Unclassified (long tail),,False
Baltazzi Sons & Co,(unclassified),,Unclassified (long tail),,False
Banca Commerciale Italiana,Banca Commerciale Italiana,Italian,Foreign bank (1914 wartime),medium,True
Banca De Espana,(unclassified),,Unclassified (long tail),,False
Bandier Tobias & Co,(unclassified),,Unclassified (long tail),,False
Banffo & Co,(unclassified),,Unclassified (long tail),,False
Bank Of Australasia,(unclassified),,Unclassified (long tail),,False
Bank Of Australia,(unclassified),,Unclassified (long tail),,False
Bank Of British West Africa Ltd,(unclassified),,Unclassified (long tail),,False
Bank Of Egypt,(unclassified),,Unclassified (long tail),,False
Bank Of Hindustan Limited,Bank of Hindustan,British colonial (India),Colonial / Imperial bank,medium,True
Bank Of Ireland,(unclassified),,Unclassified (long tail),,False
Bank Of London Limited,(unclassified),,Unclassified (long tail),,False
Bank Of Madras,(unclassified),,Unclassified (long tail),,False
Bank Of Montreal,Bank of Montreal,British colonial (Canada),Colonial / Imperial bank,medium,True
Bank Of New South Wales,Bank of New South Wales,British colonial (Australia),Colonial / Imperial bank,medium,True
Bank Of Scotland,(unclassified),,Unclassified (long tail),,False
Bank Of Wales,(unclassified),,Unclassified (long tail),,False
Banque Belge,Banque Belge,Belgian,Foreign bank (1914 wartime),medium,True
Barclay & Co,Barclay & Co,British (Quaker),British: clearing / joint-stock bank,high,True
Barclay & Co Ltd,Barclay & Co,British (Quaker),British: clearing / joint-stock bank,high,True
Bardburg & Cook,(unclassified),,Unclassified (long tail),,False
Bardgett & Picard,(unclassified),,Unclassified (long tail),,False
Barff & Co,(unclassified),,Unclassified (long tail),,False
Baring & Co,Baring Brothers & Co,"German-origin, naturalised Anglo establishment",British: private / merchant (native),high,True
Baring Bros & Co Ld,Baring Brothers & Co,"German-origin, naturalised Anglo establishment",British: private / merchant (native),high,True
Baring Brothers & Co,Baring Brothers & Co,"German-origin, naturalised Anglo establishment",British: private / merchant (native),high,True
"Barker, Benwell & Co.",(unclassified),,Unclassified (long tail),,False
Barnard & Co,(unclassified),,Unclassified (long tail),,False
Barnett & Co,(unclassified),,Unclassified (long tail),,False
Barnetts Hoare & Co On Account Of The Clydesdale Banking Company,(unclassified),,Unclassified (long tail),,False
Barry & Nephews,(unclassified),,Unclassified (long tail),,False
Bateman & Co,(unclassified),,Unclassified (long tail),,False
Battley & Butler,(unclassified),,Unclassified (long tail),,False
"Bauley, Pegg & Co",(unclassified),,Unclassified (long tail),,False
Bautcher Baltimore,(unclassified),,Unclassified (long tail),,False
Bayliss Jones & Bayliss,(unclassified),,Unclassified (long tail),,False
"Bayliss, Jones & Bayliss",(unclassified),,Unclassified (long tail),,False
Bco & Del Rio De La Hala,(unclassified),,Unclassified (long tail),,False
Beaudsell & Jackson,(unclassified),,Unclassified (long tail),,False
Beauvaisen + Leannard,(unclassified),,Unclassified (long tail),,False
Bedell Prior & Co,(unclassified),,Unclassified (long tail),,False
Beith Stevenson & Co,(unclassified),,Unclassified (long tail),,False
Beiy Riley,(unclassified),,Unclassified (long tail),,False
Bell & Grant,(unclassified),,Unclassified (long tail),,False
Bennison & Lennard,(unclassified),,Unclassified (long tail),,False
Bennison Lermard,(unclassified),,Unclassified (long tail),,False
"Bennoch, Twentyman & Rigg",(unclassified),,Unclassified (long tail),,False
Benoliel Brothers,(unclassified),,Unclassified (long tail),,False
Beo Befand Del Rio Co,(unclassified),,Unclassified (long tail),,False
Bernard Elliot,(unclassified),,Unclassified (long tail),,False
Beverington Norris,(unclassified),,Unclassified (long tail),,False
Bevington & Morris,(unclassified),,Unclassified (long tail),,False
Bevingtons & Sons,(unclassified),,Unclassified (long tail),,False
Bheonutt Booper & Co,(unclassified),,Unclassified (long tail),,False
Bhimsey Sewjee & Co,(unclassified),,Unclassified (long tail),,False
Bicken & Co,(unclassified),,Unclassified (long tail),,False
Bidgood Jones & Wilson,(unclassified),,Unclassified (long tail),,False
"Bidgood, Jones & Wilson",(unclassified),,Unclassified (long tail),,False
Bidgorddons & Co,(unclassified),,Unclassified (long tail),,False
Bieber & Co,Bieber & Co,German,Émigré: German & Central European,low,True
Bieber & Co.,Bieber & Co,German,Émigré: German & Central European,low,True
Bier & Partner,(unclassified),,Unclassified (long tail),,False
Bischoffsheim & Goldschmidt,Bischoffsheim & Goldschmidt,German-Jewish (Mainz/Amsterdam),Émigré: German & Central European,medium,True
Bl Leman,(unclassified),,Unclassified (long tail),,False
Blogg & Martin,(unclassified),,Unclassified (long tail),,False
Blogg + Martin,(unclassified),,Unclassified (long tail),,False
Blogg Vellantini,(unclassified),,Unclassified (long tail),,False
Blyth Greene Jourdain Co Ld,(unclassified),,Unclassified (long tail),,False
Bomanjee Framjee Cama & Co,Cama & Co,Parsi (Bombay),Émigré: Indian / Parsi,medium,True
Bordier Fabris & Co,"Bordier, Fabris & Co",Swiss (Geneva),Émigré: German & Central European,low,True
Borneo Co Ltd,(unclassified),,Unclassified (long tail),,False
Borrowman Phillipps & Co,(unclassified),,Unclassified (long tail),,False
Boutcher Mortimore & Co,(unclassified),,Unclassified (long tail),,False
Bowes Co Ltd,(unclassified),,Unclassified (long tail),,False
Bowes Game & Moren,(unclassified),,Unclassified (long tail),,False
Boysin Hoyer Tagart,(unclassified),,Unclassified (long tail),,False
Bradbury & Cook,(unclassified),,Unclassified (long tail),,False
Bradbury Greatorex & Co,(unclassified),,Unclassified (long tail),,False
Bridgewater Jones & Co,(unclassified),,Unclassified (long tail),,False
Brien & Parker,(unclassified),,Unclassified (long tail),,False
Brightwen & Co,Brightwen & Co,British,British: private / merchant (native),low,True
Brightwen Gillet & Co,Brightwen & Co,British,British: private / merchant (native),low,True
British Bank Of Foreign Trade Ltd,(unclassified),,Unclassified (long tail),,False
British Bank Of North America Ltd,(unclassified),,Unclassified (long tail),,False
British Bank Of South America Ltd,British Bank of South America,British colonial (S. America),Colonial / Imperial bank,low,True
British Honduras Coy Limited,(unclassified),,Unclassified (long tail),,False
Britsh Linen Bank,(unclassified),,Unclassified (long tail),,False
Broadwood & Barclay,(unclassified),,Unclassified (long tail),,False
Brockelbank & Rolt,(unclassified),,Unclassified (long tail),,False
Brown & Laws,(unclassified),,Unclassified (long tail),,False
Brown Davis & Co,(unclassified),,Unclassified (long tail),,False
Brown Shipley & Co,"Brown, Shipley & Co",Anglo-American (Baltimore/Liverpool),Émigré: American,high,True
Browning Wood & Fox,(unclassified),,Unclassified (long tail),,False
Bruce Wilkinson & Co,"Bruce, Wilkinson & Co",British,British: discount house,medium,True
Buckler Woolbright,(unclassified),,Unclassified (long tail),,False
Bucknell & Sons,(unclassified),,Unclassified (long tail),,False
Burr Brother & Co,(unclassified),,Unclassified (long tail),,False
Butterworth & Sons,(unclassified),,Unclassified (long tail),,False
Byass & Son,(unclassified),,Unclassified (long tail),,False
Byfield & Richards,(unclassified),,Unclassified (long tail),,False
C & S Grimmrade,(unclassified),,Unclassified (long tail),,False
C A Jonas & Co,(unclassified),,Unclassified (long tail),,False
C C Williams,(unclassified),,Unclassified (long tail),,False
C David & Co,(unclassified),,Unclassified (long tail),,False
C E Fireman,(unclassified),,Unclassified (long tail),,False
C Faintling,(unclassified),,Unclassified (long tail),,False
C Fauntleroy,(unclassified),,Unclassified (long tail),,False
C H Olivier,(unclassified),,Unclassified (long tail),,False
C Henry,(unclassified),,Unclassified (long tail),,False
C I Hambro & Son,C. J. Hambro & Son,Danish (Copenhagen),Émigré: German & Central European,high,True
C Jamtterey,(unclassified),,Unclassified (long tail),,False
C Leary & Co,(unclassified),,Unclassified (long tail),,False
C Sutherland & Co,(unclassified),,Unclassified (long tail),,False
C Tauntlory,(unclassified),,Unclassified (long tail),,False
C Tottie & Sons,(unclassified),,Unclassified (long tail),,False
C Walton & Sons,(unclassified),,Unclassified (long tail),,False
C. & C. I. Coles,(unclassified),,Unclassified (long tail),,False
C. Bailey,(unclassified),,Unclassified (long tail),,False
C. Candy & Co,(unclassified),,Unclassified (long tail),,False
C. E. Heinke,(unclassified),,Unclassified (long tail),,False
C. H. Noble,(unclassified),,Unclassified (long tail),,False
C. Lloyd & Co,(unclassified),,Unclassified (long tail),,False
C.J.Hambro & Son,C. J. Hambro & Son,Danish (Copenhagen),Émigré: German & Central European,high,True
Calchesters & Woolman,(unclassified),,Unclassified (long tail),,False
Caldecott & Sons W,(unclassified),,Unclassified (long tail),,False
"Caldecott, Sons & Willcocks",(unclassified),,Unclassified (long tail),,False
Cama & Co,Cama & Co,Parsi (Bombay),Émigré: Indian / Parsi,medium,True
Canadian Bank Of Commerce,Canadian Bank of Commerce,British colonial (Canada),Colonial / Imperial bank,medium,True
Capital & Counties Bank Ltd,Capital & Counties Bank,British,British: clearing / joint-stock bank,medium,True
Carlthian & Corbierie,(unclassified),,Unclassified (long tail),,False
Carneille David & Co,(unclassified),,Unclassified (long tail),,False
Carr & Hoare,(unclassified),,Unclassified (long tail),,False
Carvalho & Brother,(unclassified),,Unclassified (long tail),,False
Carvalho Brother & Co,(unclassified),,Unclassified (long tail),,False
Cash + Ledgard,(unclassified),,Unclassified (long tail),,False
Castelli Brothers,(unclassified),,Unclassified (long tail),,False
Cater Greenwell & Co,Cater & Co,British,British: discount house,medium,True
Cavan Brothers & Co,(unclassified),,Unclassified (long tail),,False
Cha Heinery,(unclassified),,Unclassified (long tail),,False
Chaffey & Son,(unclassified),,Unclassified (long tail),,False
Charles & Fox,(unclassified),,Unclassified (long tail),,False
Charles & Jof,(unclassified),,Unclassified (long tail),,False
Charles Hemery,(unclassified),,Unclassified (long tail),,False
Charles Hoare Co,(unclassified),,Unclassified (long tail),,False
Charles Rayne,(unclassified),,Unclassified (long tail),,False
"Chartered Bank Of India, Austrailia & China","Chartered Bank of India, Australia & China",British colonial,Colonial / Imperial bank,high,True
Chartered Merchant Bank Of India Limited,(unclassified),,Unclassified (long tail),,False
Chas Belier,(unclassified),,Unclassified (long tail),,False
Chas Watton & Sons,(unclassified),,Unclassified (long tail),,False
Chesnutt Cooper Co,(unclassified),,Unclassified (long tail),,False
Child & Co,(unclassified),,Unclassified (long tail),,False
Chilian Gout,(unclassified),,Unclassified (long tail),,False
Church Son & Stubbs,(unclassified),,Unclassified (long tail),,False
Churchill & Sim,(unclassified),,Unclassified (long tail),,False
Cj Hamlin & Sons,(unclassified),,Unclassified (long tail),,False
Cj Howell & Son,(unclassified),,Unclassified (long tail),,False
Clairmonte Brothers,(unclassified),,Unclassified (long tail),,False
Clawfow Coloui & Co,(unclassified),,Unclassified (long tail),,False
Clement Dresser,(unclassified),,Unclassified (long tail),,False
Clode & Baker,(unclassified),,Unclassified (long tail),,False
Closley Vepher & Co,(unclassified),,Unclassified (long tail),,False
Clydesdale Bank Ltd,(unclassified),,Unclassified (long tail),,False
Cocker Biddulph & Co,(unclassified),,Unclassified (long tail),,False
Colchesters & Woolner,(unclassified),,Unclassified (long tail),,False
Cole Nichols & Co,(unclassified),,Unclassified (long tail),,False
Colonial Bank,(unclassified),,Unclassified (long tail),,False
Colonial Company Limited,(unclassified),,Unclassified (long tail),,False
Commercial Bank Of Scotland Ltd,(unclassified),,Unclassified (long tail),,False
Commercial Banking Co. Of Of Sydney Ltd,(unclassified),,Unclassified (long tail),,False
Commonwealth Bk Of Australia,(unclassified),,Unclassified (long tail),,False
Comptoir National D'Escompte De Paris,Comptoir National d'Escompte de Paris,French,Foreign bank (1914 wartime),high,True
Consolidated Bank Limited,(unclassified),,Unclassified (long tail),,False
Consolidated Discount Co Limited,(unclassified),,Unclassified (long tail),,False
Conway Phelps & Hayward,(unclassified),,Unclassified (long tail),,False
Cook Son & Co,(unclassified),,Unclassified (long tail),,False
Cook Sons & Co,(unclassified),,Unclassified (long tail),,False
Copestake Moore & Co,(unclassified),,Unclassified (long tail),,False
"Copestake Moore, Crampton & Co",(unclassified),,Unclassified (long tail),,False
Cotesworth & Powell,(unclassified),,Unclassified (long tail),,False
Coulon & Co,(unclassified),,Unclassified (long tail),,False
Coutts & Co,(unclassified),,Unclassified (long tail),,False
Coventry Sheppard & Co,(unclassified),,Unclassified (long tail),,False
Cox Heisch & Co,(unclassified),,Unclassified (long tail),,False
Crawshay Bailey,(unclassified),,Unclassified (long tail),,False
Credit Lyonnais Per Glyn Mills Currie,"Glyn, Mills, Currie & Co",British,British: private / merchant (native),high,True
Credito Italiano,Credito Italiano,Italian,Foreign bank (1914 wartime),medium,True
Cripps & Starkey,(unclassified),,Unclassified (long tail),,False
"Crocker, Sons & Turner",(unclassified),,Unclassified (long tail),,False
Crowe Christian & Co,(unclassified),,Unclassified (long tail),,False
Crowns Agents For Colonies,(unclassified),,Unclassified (long tail),,False
Crowsley Bailey,(unclassified),,Unclassified (long tail),,False
Cuadra Romero,(unclassified),,Unclassified (long tail),,False
Culverwell Brooks Co,(unclassified),,Unclassified (long tail),,False
