date,speaker,quote
1914-09-17,Mr William Joynson-Hicks,I understand a treaty of insurance to be an arrangement which may be made between an English company and a German company by which premiums and risks and losses may be shared as between them on the terms arranged during 1001 the period of the treaty.
1914-09-17,Mr William Joynson-Hicks,"Gentleman said that although that may be a true principle, and I think he will agree it is, it is, to a large extent, nullified because of the permission in the Proclamation to deal with branches established in this country of enterprises whose headquarters are in the enemy country."
1914-09-17,Mr William Joynson-Hicks,"But I mean the case where one party to the contract is a subject of our own, and the other is an enemy in the sense that he resides and carries on business in the enemy country."
1914-11-16,Lord Hugh Cecil,"The receipt of the memorial was acknowledged, but I have not been able to send a final reply as the matter is still under the consideration of the Destitute Aliens Committee, to whom I referred the memorial."
1914-11-16,Lord Hugh Cecil,"I may say, however, that most of the Germans in the colony have been removed, and there now remain only a few who are aged or infirm;"
1914-11-16,Mr Reginald McKenna,JOYNSON-HICKS asked the Home Secretary how many alien enemies are now interned in the various concentration camps;
1914-11-16,Mr Reginald McKenna,and whether he can give any estimate of the number of alien enemies still at large?
1914-11-16,Mr Reginald McKenna,"KING asked the Home Secretary (1) whether exceptional treatment, including freedom from arrest, is being extended to certain alien enemies, who being of Polish race are certified by the Polish Information Committee;"
1914-11-16,Mr Reginald McKenna,"whether similar treatment has been or will be extended to other enemies, such as Alsatians, Holsteiners, and Trentine Italians, whose friendly dispositions to this country are vouched for by responsible persons;"
1914-11-16,Mr Reginald McKenna,and whether he will consider the granting to alien enemies who are Hungarian subjects of approved goodwill a correspondingly favourable treatment?
1915-03-03,Mr William Joynson-Hicks,The responsibility for the internment of aliens rested from the first on the War Office and has always remained with the War Office.
1915-03-03,Mr William Joynson-Hicks,"Lord Kitchener had the responsibility, and has had the sole responsibility with regard to the internment of aliens from the first."
1915-03-03,Mr William Joynson-Hicks,The Prime Minister's reply related to the release of interned aliens.
1915-03-03,Mr William Joynson-Hicks,"For a short period, before 11th November, the release of aliens was handed over to me, but it was resumed by Lord Kitchener on 11th November."
1915-03-03,Mr William Joynson-Hicks,There was not any desire on the part of any policeman to find employment for any German.
1915-03-03,Mr William Joynson-Hicks,I prefer to deal with some of the general questions arising out of the alien danger.
1915-03-03,Mr William Joynson-Hicks,"Surely it is not disputed in any quarter that the danger is a very real one! It is admitted we have some 70,000 aliens dwelling in this country, and I think the speech of the right hon."
1915-03-03,Mr William Joynson-Hicks,"You have got the peril to life in the presence of many aliens, many of whom may be spies, or a danger to the State in the event of a raid, or may in other forms injure us.""&#x2014;[ OFFICIAL REPORT, 26th November, 1914, col."
1915-03-03,Mr William Joynson-Hicks,LXVIII.] There are a good many forms in which the enemies of the State may injure it.
1915-03-03,Mr William Joynson-Hicks,"I wonder whether anyone will say it is impossibe that the enemies of this country have been taking advantage, or might take advantage, of the industrial position in certain parts of the country to foster a feeling which is not wholly consistent with the national interest."
1915-03-03,Mr William Joynson-Hicks,Rather I believe enemy agitators may easily have endeavoured to foster and increase any feeling of irritation which may exist to our detriment and our loss.
1915-03-03,Mr William Joynson-Hicks,"As regards the general question, if it is true&#x2014;and it is true undoubtedly&#x2014;that all aliens are not enemies, it is equally true that all enemies are not aliens."
1915-03-03,Mr William Joynson-Hicks,"We have a great variety of classes of people who may be dangerous to us in the present position, and I would go so far as to say that the unnaturalised German living in this country, the man who remains openly a German subject, is not by any means 849 the most dangerous."
1915-03-03,Mr William Joynson-Hicks,That man at the outbreak of the War was a German subject;
1915-03-03,Mr William Joynson-Hicks,he had never taken the trouble to become naturalised.
1915-03-03,Mr William Joynson-Hicks,"Gentleman has since, and I think very rightly&#x2014;I intervened in this matter myself&#x2014;given the man his naturalisation papers, is it is obviously due to carelessness that the man did not take the trouble to naturalise himself at an earlier date."
1915-03-03,Mr William Joynson-Hicks,"I believe that by far the most dangerous are those Germans living in this country who have recently, in many cases, become naturalised British subjects."
