scope,house_a,house_b,origin_a,origin_b,both_emigre,same_origin_group,weight,shared_days
all_crises,A. Ruffer & Sons,Alexanders & Co (discount),Emigre: German & Central European,British: discount house,False,False,0.37493509303283273,19
all_crises,A. Ruffer & Sons,B. W. Blydenstein & Co,Emigre: German & Central European,Emigre: German & Central European,True,True,0.4249182927993987,13
all_crises,A. Ruffer & Sons,"Baker, Duncombe & Co",Emigre: German & Central European,British: private / merchant (native),False,False,0.3278050340535929,7
all_crises,A. Ruffer & Sons,Brightwen & Co,Emigre: German & Central European,British: private / merchant (native),False,False,0.3429971702850177,12
all_crises,A. Ruffer & Sons,C. J. Hambro & Son,Emigre: German & Central European,Emigre: German & Central European,True,True,0.34020690871988585,10
all_crises,A. Ruffer & Sons,"Daniell, Cazenove & Co",Emigre: German & Central European,British: private / merchant (native),False,False,0.4714045207910317,12
all_crises,A. Ruffer & Sons,King & Foa,Emigre: German & Central European,Emigre: Greek & Levantine,True,False,0.3464674335917916,11
all_crises,A. Ruffer & Sons,"Smith, St Aubyn & Co",Emigre: German & Central European,British: discount house,False,False,0.3150630189063022,9
all_crises,A. Ruffer & Sons,Union Discount Co. of London,Emigre: German & Central European,British: discount house,False,False,0.4362514358891158,13
all_crises,A. Ruffer & Sons,Hongkong & Shanghai Banking Corp.,Emigre: German & Central European,Colonial / Imperial bank,False,False,0.3572172541558802,7
all_crises,A. Ruffer & Sons,International Banking Corporation,Emigre: German & Central European,Emigre: American,True,False,0.3872983346207417,6
all_crises,A. Ruffer & Sons,London County & Westminster Bank,Emigre: German & Central European,British: clearing / joint-stock bank,False,False,0.43092875104518874,19
all_crises,A. Ruffer & Sons,National Bank of India,Emigre: German & Central European,Colonial / Imperial bank,False,False,0.32659863237109044,8
all_crises,A. Ruffer & Sons,Parr's Bank,Emigre: German & Central European,British: clearing / joint-stock bank,False,False,0.468292905790847,20
all_crises,A. Ruffer & Sons,"Glyn, Mills, Currie & Co",Emigre: German & Central European,British: private / merchant (native),False,False,0.38254602783800296,12
all_crises,A. Ruffer & Sons,"Robarts, Lubbock & Co",Emigre: German & Central European,British: private / merchant (native),False,False,0.3061862178478973,3
all_crises,A. Ruffer & Sons,Union of London & Smiths Bank,Emigre: German & Central European,British: clearing / joint-stock bank,False,False,0.4341353708801221,22
all_crises,A. Ruffer & Sons,National Provincial Bank,Emigre: German & Central European,British: clearing / joint-stock bank,False,False,0.4583333333333333,11
all_crises,A. Ruffer & Sons,Barclay & Co,Emigre: German & Central European,British: clearing / joint-stock bank,False,False,0.42433421239575275,11
all_crises,A. Ruffer & Sons,Capital & Counties Bank,Emigre: German & Central European,British: clearing / joint-stock bank,False,False,0.4330127018922193,9
all_crises,A. Ruffer & Sons,Lloyds Bank,Emigre: German & Central European,British: clearing / joint-stock bank,False,False,0.40824829046386296,14
all_crises,A. Ruffer & Sons,London & South Western Bank,Emigre: German & Central European,British: clearing / joint-stock bank,False,False,0.46819109191731173,11
all_crises,A. Ruffer & Sons,London Joint Stock Bank,Emigre: German & Central European,British: clearing / joint-stock bank,False,False,0.3563483225498992,8
all_crises,Agra & Masterman's Bank,Leonino & Co,Colonial / Imperial bank,Emigre: Greek & Levantine,False,False,0.31622776601683794,2
all_crises,Agra & Masterman's Bank,"Smith, Fleming & Co",Colonial / Imperial bank,British: private / merchant (native),False,False,0.3086066999241838,2
all_crises,Alexanders & Co (discount),"Bruce, Wilkinson & Co",British: discount house,British: discount house,False,True,0.3069800647022712,22
all_crises,Alexanders & Co (discount),Cunliffe Brothers,British: discount house,British: private / merchant (native),False,False,0.3728840743461845,27
all_crises,Alexanders & Co (discount),National Discount Co.,British: discount house,British: discount house,False,True,0.5214188863622271,40
all_crises,Alexanders & Co (discount),C. J. Hambro & Son,British: discount house,Emigre: German & Central European,False,False,0.37058232080083775,23
all_crises,Alexanders & Co (discount),"Glyn, Mills, Currie & Co",British: discount house,British: private / merchant (native),False,False,0.5284260598723557,35
all_crises,Alexanders & Co (discount),Frühling & Goschen,British: discount house,Emigre: German & Central European,False,False,0.3100454335972811,12
all_crises,Alexanders & Co (discount),Frederick Huth & Co,British: discount house,Emigre: German & Central European,False,False,0.3829991358658054,19
all_crises,Alexanders & Co (discount),"Kleinwort, Sons & Co",British: discount house,Emigre: German & Central European,False,False,0.3096034584137879,20
all_crises,Alexanders & Co (discount),"Allen, Harvey & Ross",British: discount house,British: discount house,False,True,0.36435252333068063,25
all_crises,Alexanders & Co (discount),Anglo South American Bank,British: discount house,Colonial / Imperial bank,False,False,0.35485529775017793,16
all_crises,Alexanders & Co (discount),B. W. Blydenstein & Co,British: discount house,Emigre: German & Central European,False,False,0.41796466885861366,27
all_crises,Alexanders & Co (discount),"Baker, Duncombe & Co",British: discount house,British: private / merchant (native),False,False,0.3104983855314057,14
all_crises,Alexanders & Co (discount),Brightwen & Co,British: discount house,British: private / merchant (native),False,False,0.3925735371130034,29
all_crises,Alexanders & Co (discount),"Daniell, Cazenove & Co",British: discount house,British: private / merchant (native),False,False,0.4837261625611545,26
all_crises,Alexanders & Co (discount),King & Foa,British: discount house,Emigre: Greek & Levantine,False,False,0.5220973757661796,35
all_crises,Alexanders & Co (discount),National Bank of India,British: discount house,Colonial / Imperial bank,False,False,0.425364055180092,22
all_crises,Alexanders & Co (discount),"Reeves, Whitburn & Co",British: discount house,British: private / merchant (native),False,False,0.4236027057709247,24
all_crises,Alexanders & Co (discount),"Smith, St Aubyn & Co",British: discount house,British: discount house,False,True,0.4310642442001163,26
all_crises,Alexanders & Co (discount),British Bank of South America,British: discount house,Colonial / Imperial bank,False,False,0.3069800647022712,11
all_crises,Alexanders & Co (discount),Union Discount Co. of London,British: discount house,British: discount house,False,True,0.4767914993707312,30
all_crises,Alexanders & Co (discount),London County & Westminster Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.5155927941576873,48
all_crises,Alexanders & Co (discount),Parr's Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.5766398588440391,52
all_crises,Alexanders & Co (discount),Union of London & Smiths Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.5700934579439252,61
all_crises,Alexanders & Co (discount),London & River Plate Bank,British: discount house,Colonial / Imperial bank,False,False,0.3217493521030312,12
all_crises,Alexanders & Co (discount),Capital & Counties Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.3645791610798204,16
all_crises,Alexanders & Co (discount),Comptoir National d'Escompte de Paris,British: discount house,Foreign bank (1914 wartime),False,False,0.3628412866097104,18
all_crises,Alexanders & Co (discount),National Provincial Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.4341353708801221,22
all_crises,Alexanders & Co (discount),Royal Bank of Scotland,British: discount house,British: clearing / joint-stock bank,False,False,0.41440194493102567,21
all_crises,Alexanders & Co (discount),Barclay & Co,British: discount house,British: clearing / joint-stock bank,False,False,0.3288528428588413,18
all_crises,Alexanders & Co (discount),Lloyds Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.44193668070658904,32
all_crises,Alexanders & Co (discount),London & South Western Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.4031569851219004,20
all_crises,Alexanders & Co (discount),London Joint Stock Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.35863063499128195,17
all_crises,Alexanders & Co (discount),National Bank of Scotland,British: discount house,British: clearing / joint-stock bank,False,False,0.3797265546966515,18
all_crises,Alexanders & Co (discount),Standard Bank of South Africa,British: discount house,Colonial / Imperial bank,False,False,0.33488734331156855,12
all_crises,Alexanders & Co (discount),Lütgens & Ripley,British: discount house,Emigre: German & Central European,False,False,0.3100454335972811,12
all_crises,Alexanders & Co (discount),Bank of Montreal,British: discount house,Colonial / Imperial bank,False,False,0.3494544034095225,14
all_crises,"Allen, Harvey & Ross",Anglo South American Bank,British: discount house,Colonial / Imperial bank,False,False,0.3458572319330373,10
